Scarab gitrev: 3541854
Scarab started at Tue Oct  8 01:21:52 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (111.11 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 125.00 KIPS (117.65 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 62.50 KIPS (90.91 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 43.48 KIPS (71.43 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 47.62 KIPS (64.94 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 62.50 KIPS (64.52 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 66.67 KIPS (64.81 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 76.92 KIPS (66.12 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 38.46 KIPS (61.22 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 62.50 KIPS (61.35 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 66.67 KIPS (61.80 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 71.43 KIPS (62.50 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 76.92 KIPS (63.41 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 100.00 KIPS (65.12 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 90.91 KIPS (66.37 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 62.50 KIPS (66.12 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 52.63 KIPS (65.13 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 83.33 KIPS (65.93 KIPS)
** Heartbeat:  95% -- { 19000001 } -- 111.11 KIPS (67.38 KIPS)
** Core 0 Finished:    insts:20000000    cycles:78576489    time:24555152812500      -- 0.25 IPC (0.25 IPC) --  N/A  KIPS (67.80 KIPS)
Scarab finished at Tue Oct  8 01:26:47 2024

