Scarab gitrev: 3541854
Scarab started at Tue Oct  8 01:24:54 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (100.00 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 90.91 KIPS (95.24 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 76.92 KIPS (88.24 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 100.00 KIPS (90.91 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 90.91 KIPS (90.91 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 83.33 KIPS (89.55 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 83.33 KIPS (88.61 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 66.67 KIPS (85.11 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 90.91 KIPS (85.71 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 90.91 KIPS (86.21 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 52.63 KIPS (81.48 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 90.91 KIPS (82.19 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 71.43 KIPS (81.25 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 55.56 KIPS (78.65 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 43.48 KIPS (74.63 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 58.82 KIPS (73.39 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 76.92 KIPS (73.59 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 90.91 KIPS (74.38 KIPS)
** Heartbeat:  95% -- { 19000000 } -- 66.67 KIPS (73.93 KIPS)
** Heartbeat: 100% -- { 20000000 } -- 83.33 KIPS (74.35 KIPS)
** Core 0 Finished:    insts:20000000    cycles:80009440    time:25002950000000      -- 0.25 IPC (0.25 IPC) --  N/A  KIPS (74.35 KIPS)
Scarab finished at Tue Oct  8 01:29:23 2024

