Scarab gitrev: 3541854
Scarab started at Tue Oct  8 00:11:03 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (58.82 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 66.67 KIPS (62.50 KIPS)
** Heartbeat:  15% -- { 3000000 } -- 76.92 KIPS (66.67 KIPS)
** Heartbeat:  20% -- { 4000000 } -- 47.62 KIPS (60.61 KIPS)
** Heartbeat:  25% -- { 5000000 } -- 76.92 KIPS (63.29 KIPS)
** Heartbeat:  30% -- { 6000000 } -- 43.48 KIPS (58.82 KIPS)
** Heartbeat:  35% -- { 7000000 } -- 52.63 KIPS (57.85 KIPS)
** Heartbeat:  40% -- { 8000000 } -- 50.00 KIPS (56.74 KIPS)
** Heartbeat:  45% -- { 9000000 } -- 71.43 KIPS (58.06 KIPS)
** Heartbeat:  50% -- { 10000000 } -- 43.48 KIPS (56.18 KIPS)
** Heartbeat:  55% -- { 11000000 } -- 52.63 KIPS (55.84 KIPS)
** Heartbeat:  60% -- { 12000000 } -- 43.48 KIPS (54.55 KIPS)
** Heartbeat:  65% -- { 13000000 } -- 52.63 KIPS (54.39 KIPS)
** Heartbeat:  70% -- { 14000000 } -- 47.62 KIPS (53.85 KIPS)
** Heartbeat:  75% -- { 15000000 } -- 52.63 KIPS (53.76 KIPS)
** Heartbeat:  80% -- { 16000000 } -- 66.67 KIPS (54.42 KIPS)
** Heartbeat:  85% -- { 17000000 } -- 43.48 KIPS (53.63 KIPS)
** Heartbeat:  90% -- { 18000000 } -- 62.50 KIPS (54.05 KIPS)
** Heartbeat:  95% -- { 19000000 } -- 52.63 KIPS (53.98 KIPS)
** Heartbeat: 100% -- { 20000000 } -- 55.56 KIPS (54.05 KIPS)
** Core 0 Finished:    insts:20000000    cycles:80009440    time:25002950000000      -- 0.25 IPC (0.25 IPC) --  N/A  KIPS (54.05 KIPS)
Scarab finished at Tue Oct  8 00:17:13 2024

